,design,predictor,sample_type,sample_size,folds,dim,lambd,mean_precision,mean_recall,mean_fscore,mean_size_err,median_precision,median_recall,median_fscore,median_size_err
35,fdct,suspect2vec,solver,0.3,1000000000000.0,20.0,0.0,0.9358780978557564,0.7607067683388485,0.8249604320687064,0.2468874814185984,0.9736842105263158,0.7916666666666666,0.8296296296296296,0.1728395061728395
36,fpu,DATE,solver,0.3,1000000000000.0,,,0.7972573286171807,0.578692528003703,0.6471680543979611,0.3140447294822125,0.7826086956521741,0.5185185185185185,0.6521739130434783,0.3125
37,fpu,suspect2vec,solver,0.3,1000000000000.0,20.0,0.0,0.7636585110822756,0.6574575185649473,0.6599260415856351,0.4625349109756279,0.8596491228070176,0.6818181818181818,0.6388888888888888,0.4090909090909091
38,rsdecoder,DATE,solver,0.3,1000000000000.0,,,0.9118059080532848,0.6147235438358375,0.7066833513847439,0.4341248726409741,1.0,0.5683060109289617,0.6956521739130436,0.415
39,rsdecoder,suspect2vec,solver,0.3,1000000000000.0,20.0,0.0,0.9123771741346196,0.8015104248062995,0.8323422233600942,0.25603465498048433,0.9740259740259741,0.8611111111111112,0.8857142857142857,0.1388888888888889
40,spi,DATE,solver,0.3,1000000000000.0,,,0.9405831879535441,0.4952411676532524,0.6192525934968454,0.4649445044886232,1.0,0.3621396832630739,0.5316261360845002,0.6378603167369261
41,spi,suspect2vec,solver,0.3,1000000000000.0,20.0,0.0,0.9405614473994928,0.8010947933952939,0.8529282071390082,0.21253188555789929,0.9793771043771043,0.8215423111919927,0.8828725836624403,0.16609211252068395
42,aemb,DATE,solver,0.4,1000000000000.0,,,0.8263354985316553,0.5852762716762739,0.6652278731703357,0.4305611999928781,0.9354838709677421,0.5515151515151515,0.6859688195991092,0.3828125
43,aemb,suspect2vec,solver,0.4,1000000000000.0,20.0,0.0,0.757192400369256,0.7184158632678778,0.7127473717040311,0.5625076576801479,0.7755102040816326,0.7317073170731707,0.7424242424242423,0.1891891891891892
44,divider,DATE,solver,0.4,1000000000000.0,,,0.9761078323412078,0.5812062324539297,0.7189472243464005,0.4082284160157342,1.0,0.5301204819277109,0.6808510638297872,0.4444444444444444
45,divider,suspect2vec,solver,0.4,1000000000000.0,20.0,0.0,0.937543671153702,0.8567525061312561,0.8880630025690678,0.14252800965297696,0.9827586206896552,0.855072463768116,0.8928571428571429,0.11428571428571427
46,ethernet,DATE,solver,0.4,1000000000000.0,,,0.9077596421724584,0.6956087011953368,0.7615530515359583,0.3395015793180789,1.0,0.6440024479804162,0.7384615384615385,0.3783002588438309
47,ethernet,suspect2vec,solver,0.4,1000000000000.0,20.0,0.0,0.927248791564838,0.8913997172311273,0.8976353920885686,0.16270968686048476,0.9946349462056268,0.9594594594594594,0.9309523809523812,0.08035714285714285
48,fdct,DATE,solver,0.4,1000000000000.0,,,0.9301766693432192,0.771921451667355,0.8349261179471194,0.21099300330535548,0.967741935483871,0.7758620689655172,0.8435374149659863,0.16666666666666666
49,fdct,suspect2vec,solver,0.4,1000000000000.0,20.0,0.0,0.924990823236755,0.8396874690190479,0.8672361699020047,0.2203026688336244,0.9736842105263158,0.8412698412698413,0.8968253968253969,0.16666666666666666
50,fpu,DATE,solver,0.4,1000000000000.0,,,0.7732871246686918,0.6732500903305808,0.7027007115971393,0.2563417713931064,0.7931034482758621,0.6086956521739131,0.7142857142857143,0.2653061224489796
51,fpu,suspect2vec,solver,0.4,1000000000000.0,20.0,0.0,0.7645157926178607,0.7428574055812647,0.7142317879193373,0.4595622416542416,0.8695652173913043,0.8,0.7079646017699115,0.3623188405797101
52,rsdecoder,DATE,solver,0.4,1000000000000.0,,,0.8905796813764091,0.7217938475460777,0.7724134097175811,0.3462793416997611,0.9797297297297296,0.6977777777777778,0.7619047619047621,0.3422222222222222
53,rsdecoder,suspect2vec,solver,0.4,1000000000000.0,20.0,0.0,0.8942608352643501,0.8666515674962829,0.8565388682138559,0.5359140312733467,0.9827586206896552,0.8938053097345132,0.9133858267716536,0.14
